transaction_id,customer_id,product_id,store_id,quantity,discount_percent,sale_date
1,3217,131,2,3,0,25-02-2022
2,1347,638,8,8,0,11-10-2019
3,1424,354,38,-1,,18-06-2020
4,2283,822,19,8,,04-02-2023
5,1332,512,36,1,10,26-11-2022
6,138,566,50,10,5,22-09-2019
7,1706,652,33,10,,02-01-2024
8,685,75,47,7,20,30-08-2022
9,2209,686,48,8,5,30-11-2022
10,1655,637,23,2,10,23-11-2019
11,1701,817,24,-1,10,28-11-2022
12,4057,849,42,9,50,30-12-2022
13,954,152,50,-1,0,10-07-2022
14,2678,736,27,-1,5,25-12-2023
15,2877,969,3,-1,,18-06-2023
16,738,626,37,4,,27-01-2019
17,1521,927,34,6,20,08-09-2022
18,4079,60,11,10,,16-04-2024
19,1121,556,34,9,0,20-11-2020
20,103,27,48,-1,20,11-03-2021
21,4611,652,34,6,50,03-06-2023
22,4765,60,18,6,20,01-03-2024
23,588,672,43,10,,18-02-2022
24,263,800,47,3,10,10-03-2024
25,1351,682,13,-1,,29-08-2019
26,3706,812,46,5,5,27-01-2023
27,3158,233,6,10,20,15-08-2021
28,1485,800,41,6,0,20-12-2020
29,2798,217,50,2,,10-05-2021
30,4134,671,38,7,20,09-03-2022
31,1017,965,42,-1,50,29-05-2020
32,4854,623,31,-1,5,20-12-2020
33,1417,718,1,3,0,29-05-2023
34,1235,212,7,-1,,19-03-2022
35,4900,440,36,2,50,05-10-2021
36,3730,323,17,-1,,02-12-2020
37,4924,815,14,7,10,11-12-2020
38,2138,227,32,-1,0,03-03-2023
39,4763,636,22,10,20,26-12-2023
40,4420,501,46,4,,05-02-2021
41,1991,681,44,8,,23-01-2023
42,1640,967,31,8,,11-11-2021
43,2188,215,15,9,15,20-03-2019
44,4058,863,16,-1,15,13-05-2023
45,2465,959,37,7,20,22-04-2020
46,2640,106,24,9,20,08-06-2020
47,4392,715,13,-1,15,25-06-2021
48,3680,398,32,2,5,08-04-2022
49,4184,168,25,9,,24-06-2020
50,4382,963,40,-1,0,07-02-2021
51,3090,324,1,10,,10-09-2019
52,2007,346,12,1,15,01-03-2024
53,139,145,25,5,15,16-01-2021
54,3245,817,39,9,0,05-06-2019
55,285,621,41,8,50,22-01-2019
56,3958,430,46,10,10,28-02-2021
57,570,214,37,3,20,20-04-2023
58,3789,755,4,7,20,10-09-2021
59,1339,317,6,2,50,07-04-2019
60,2250,541,11,4,,20-09-2021
61,997,337,28,3,5,10-09-2023
62,1432,715,3,2,20,05-10-2021
63,4951,952,49,-1,15,07-12-2022
64,1265,657,28,4,5,25-07-2023
65,1934,81,6,1,,09-05-2023
66,3582,742,41,3,20,11-01-2020
67,4649,638,2,2,,10-01-2024
68,441,884,50,9,,04-03-2019
69,472,830,18,4,,27-05-2019
70,3004,172,19,-1,50,23-11-2021
71,4711,967,46,7,10,20-08-2020
72,2654,117,2,7,,28-07-2021
73,1302,824,17,-1,,02-06-2020
74,3196,516,1,10,20,10-01-2024
75,1891,534,35,10,50,08-06-2021
76,3897,445,1,3,15,16-06-2023
77,4442,507,47,6,,24-04-2019
78,1018,878,41,5,20,13-04-2020
79,3045,584,5,7,15,10-04-2019
80,1733,920,44,3,,17-03-2024
81,2314,833,43,-1,5,15-01-2020
82,4536,111,15,3,5,30-05-2019
83,713,60,11,-1,10,13-03-2022
84,3368,860,34,2,,14-09-2021
85,4158,458,25,8,,20-08-2019
86,649,788,47,7,0,05-01-2023
87,3969,77,13,7,0,10-11-2019
88,3551,601,1,-1,,12-04-2019
89,266,295,46,4,10,17-03-2022
90,1182,465,6,7,15,05-06-2019
91,1744,916,42,8,5,26-09-2019
92,2486,620,19,9,50,27-03-2021
93,1028,197,50,3,20,12-06-2021
94,471,997,19,7,0,01-01-2020
95,1632,950,49,9,,30-04-2022
96,465,33,31,7,20,03-05-2023
97,303,395,12,8,15,03-04-2024
98,3735,259,31,-1,15,16-02-2019
99,3418,670,45,-1,,15-06-2021
100,2700,492,48,8,,08-07-2021
101,1220,996,31,4,10,27-04-2023
102,776,168,27,6,50,18-04-2023
103,4290,462,37,4,20,10-05-2024
104,1324,798,8,6,10,02-02-2020
105,4846,639,3,3,50,30-06-2021
106,4368,655,23,6,10,07-05-2019
107,2656,126,29,5,,02-11-2019
108,1826,609,15,8,50,08-03-2024
109,3890,260,39,8,5,04-03-2019
110,1695,803,36,1,20,02-04-2024
111,4343,747,4,4,20,07-12-2021
112,579,833,4,6,20,29-08-2022
113,2758,330,37,3,20,17-05-2022
114,4485,265,31,8,50,03-10-2020
115,1733,832,43,8,5,10-09-2020
116,2529,436,15,-1,,28-01-2021
117,1552,74,26,9,20,02-08-2021
118,4114,149,35,4,5,14-11-2019
119,2562,399,24,3,,14-07-2023
120,479,218,40,2,10,03-03-2022
121,774,67,17,4,50,13-10-2019
122,1546,995,18,-1,50,10-04-2021
123,4844,907,25,9,0,09-08-2021
124,4153,84,48,9,50,07-07-2020
125,3805,495,9,8,0,08-11-2022
126,4655,766,10,-1,10,17-06-2020
127,4872,415,47,7,,10-03-2024
128,3201,935,43,7,,17-12-2021
129,98,213,31,-1,5,30-05-2019
130,3197,583,2,8,5,12-07-2020
131,3286,498,33,2,,23-03-2022
132,14,202,46,6,15,31-10-2020
133,1657,855,23,-1,15,25-11-2023
134,419,21,23,5,20,13-03-2019
135,1555,326,40,-1,5,25-08-2022
136,3026,14,24,5,5,13-06-2022
137,1682,272,41,10,5,12-06-2021
138,3967,59,1,-1,20,11-04-2020
139,90,462,18,4,,23-05-2024
140,4459,888,39,-1,,23-02-2019
141,2132,810,24,4,,02-06-2022
142,812,126,5,-1,,14-07-2023
143,2457,643,11,-1,20,14-08-2023
144,4589,813,20,2,,26-05-2021
145,2408,928,11,3,,29-06-2023
146,1114,656,50,10,20,13-03-2020
147,3268,398,32,3,,02-11-2019
148,2075,414,39,3,0,09-03-2021
149,118,709,11,9,,19-03-2023
150,4411,690,17,5,5,07-01-2019
151,4667,516,40,9,50,21-01-2019
152,2105,46,27,-1,,22-02-2021
153,2271,145,17,7,20,05-12-2020
154,3759,211,23,6,50,23-06-2021
155,2148,302,31,-1,20,19-02-2024
156,4711,396,23,2,,06-10-2023
157,1128,993,41,8,5,21-05-2019
158,1623,740,29,7,15,18-03-2020
159,385,371,10,2,0,30-05-2021
160,2897,192,25,-1,10,29-10-2019
161,792,344,22,1,0,26-08-2021
162,1962,149,6,7,50,14-02-2024
163,3710,939,42,10,0,07-05-2020
164,3350,20,46,1,10,16-01-2019
165,245,888,50,1,20,27-11-2020
166,2681,705,31,4,0,01-02-2023
167,44,490,7,9,50,02-09-2019
168,331,981,28,10,15,16-06-2020
169,3494,171,39,8,10,24-10-2021
170,1121,21,35,7,,17-11-2023
171,3863,909,16,8,50,08-01-2022
172,3508,890,11,-1,10,16-04-2021
173,4050,179,13,4,,08-09-2020
174,2022,602,15,-1,,20-02-2020
175,2529,5,30,1,10,16-02-2024
176,4323,577,20,-1,5,06-05-2022
177,963,394,28,9,10,16-10-2021
178,304,32,18,9,20,03-06-2024
179,2032,287,11,-1,,13-12-2023
180,998,810,41,6,0,27-01-2022
181,2050,971,14,9,50,26-07-2019
182,4895,313,36,8,50,03-03-2022
183,271,842,42,3,15,01-12-2023
184,3073,944,14,1,,08-01-2024
185,3408,722,5,9,50,03-03-2023
186,856,425,16,7,10,19-03-2020
187,3713,98,10,2,0,28-08-2021
188,3991,391,47,-1,5,03-10-2021
189,4968,604,10,4,,10-06-2021
190,544,805,38,-1,5,14-08-2022
191,3931,432,5,-1,20,19-10-2022
192,2963,192,24,4,50,20-06-2022
193,4680,531,5,2,0,16-07-2022
194,3870,334,22,6,10,12-10-2022
195,4468,589,38,3,50,18-09-2023
196,1993,287,20,5,5,29-03-2020
197,1452,848,44,-1,20,31-10-2023
198,2886,162,43,6,0,18-01-2023
199,1416,801,25,7,10,16-03-2019
200,498,76,13,2,0,11-08-2019
201,4135,540,30,3,,12-04-2019
202,1732,706,34,6,0,25-11-2022
203,258,354,44,9,,12-05-2019
204,333,589,30,3,0,03-03-2020
205,3112,687,40,-1,0,21-09-2023
206,1622,403,48,3,10,02-08-2021
207,4976,581,31,9,,31-01-2023
208,1518,559,8,9,,07-09-2019
209,3186,645,2,-1,10,06-04-2020
210,3690,937,20,1,5,06-09-2021
211,4141,628,41,3,0,01-05-2024
212,4954,24,5,1,5,24-10-2019
213,2382,941,2,-1,0,03-09-2020
214,1498,2,31,8,5,30-01-2022
215,2086,503,27,8,,04-12-2021
216,1183,364,5,9,10,10-10-2021
217,578,957,12,7,,19-09-2020
218,3420,985,29,6,,07-08-2019
219,3016,60,43,-1,,03-03-2022
220,3207,691,35,8,50,02-07-2019
221,4587,957,5,8,10,19-11-2020
222,2580,404,29,8,10,13-10-2021
223,846,232,23,4,15,27-01-2021
224,618,317,3,6,0,26-10-2020
225,4198,666,49,-1,50,05-09-2020
226,141,76,33,3,0,31-08-2019
227,461,747,15,8,20,01-06-2021
228,4468,264,33,7,15,22-10-2021
229,919,816,31,7,10,15-04-2023
230,3557,231,3,3,10,15-04-2024
231,833,840,43,6,15,23-10-2020
232,3648,266,13,4,15,12-07-2023
233,1194,593,38,8,,01-03-2023
234,695,749,12,3,,10-08-2023
235,759,908,3,3,,22-12-2022
236,3868,602,41,3,,30-01-2021
237,2043,221,42,6,,10-02-2023
238,3531,68,3,7,50,30-01-2024
239,3738,404,6,-1,0,30-11-2023
240,4161,919,41,10,20,17-01-2022
241,1590,444,13,2,50,31-10-2021
242,4091,333,35,-1,5,06-06-2020
243,1253,747,48,6,,07-07-2022
244,2957,424,12,3,,19-01-2024
245,4484,82,25,5,20,30-09-2022
246,922,578,43,6,15,10-01-2024
247,2969,917,27,5,20,24-08-2022
248,3319,614,46,6,,09-07-2023
249,491,440,20,9,,14-01-2020
250,3872,70,6,7,,15-10-2019
251,4984,900,50,9,10,23-02-2021
252,3487,264,12,-1,,18-05-2021
253,2460,287,15,5,10,28-06-2019
254,2731,18,19,4,,14-07-2023
255,3488,928,22,6,50,08-01-2022
256,3117,308,20,6,,18-03-2020
257,3113,2,10,2,10,02-07-2019
258,3946,979,42,-1,20,02-03-2019
259,312,15,33,2,15,19-06-2021
260,2258,316,16,-1,,11-10-2019
